DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1153.39502;9.41968;154.80176;60.81445;0.33754;4.80469;2.02641;.12291;0.20304828289373;1401.69970268653
1153.40002;9.42160;154.74902;60.90625;0.33780;4.76953;2.02701;.12401;0.31735891127733;2981.22670826345
1153.50000;9.46000;153.69200;62.75700;0.34300;4.05400;2.03900;.14600;0.315004354880507;2941.69239569367
1153.57776;9.47928;152.42578;63.32227;0.34362;3.85181;2.05299;.18860;0.299016405026757;2681.03330224039
1153.59998;9.48477;152.06445;63.48340;0.34380;3.79395;2.05699;.20081;0.299318640573704;2685.83461639545
1153.75000;9.52200;149.62199;64.57300;0.34500;3.40400;2.08400;.28300;0.300153664526573;2699.12578848272
1153.76306;9.52294;149.48730;64.51758;0.34537;3.36108;2.08452;.29022;0.303427416952746;2751.59166070398
1153.80005;9.52560;149.10352;64.36084;0.34640;3.23877;2.08600;.31067;0.304418646285309;2767.58902453075
1153.95178;9.53653;147.52930;63.71777;0.35065;2.73755;2.09207;.39441;0.317930227990802;2990.86210048742
1154.00000;9.54000;147.02901;63.51300;0.35200;2.57800;2.09400;.42100;0.323407105811642;3084.12616205707
1154.14124;9.53887;147.69092;62.15723;0.35482;2.34924;2.08440;.54358;0.327981132871192;3163.23667310698
1154.20007;9.53840;147.96680;61.59277;0.35600;2.25391;2.08040;.59467;0.325805493659009;3125.4689852353
1154.25000;9.53800;148.20100;61.11500;0.35700;2.17300;2.07700;.63800;0.323627000768287;3087.90352304038
1154.32947;9.53419;149.64062;61.83594;0.36653;2.06177;2.08780;.65167;0.320125391304412;3028.05079513165
1154.40002;9.53080;150.91797;62.47559;0.37500;1.96301;2.09740;.66382;0.31454632423542;2934.0332256914
1154.50000;9.52600;152.73000;63.38100;0.38700;1.82300;2.11100;.68100;0.282408410315537;2424.63722330484
1154.51587;9.52606;152.54297;63.97266;0.38795;1.80725;2.11517;.70044;0.288257445661995;2513.26478811159
1154.59998;9.52640;151.54785;67.11328;0.39300;1.72351;2.13739;.80334;0.257453092627103;2066.91913752308
1154.70142;9.52681;150.34766;70.90234;0.39909;1.62244;2.16415;.92749;0.237855229196317;1809.17942544395
1154.75000;9.52700;149.77200;72.71700;0.40200;1.57400;2.17700;.98700;0.199076896520362;1359.29627895813
1154.80005;9.53320;145.97656;73.56055;0.40280;1.54834;2.18401;1.04834;0.156119784266588;954.16071400643
1154.89673;9.54520;138.63281;75.18945;0.40435;1.49884;2.19754;1.16675;0.171868161501857;1091.30876338947
1155.00000;9.55800;130.79201;76.92800;0.40600;1.44600;2.21200;1.29300;0.185124681894803;1216.96519597453
1155.10400;9.56549;128.19141;76.07520;0.41016;1.36359;2.21242;1.31088;0.191535140849182;1281.07634643944
1155.20007;9.57241;125.78711;75.28613;0.41400;1.28748;2.21280;1.32741;0.188453967832069;1249.98894658975
1155.25000;9.57600;124.53600;74.87700;0.41600;1.24800;2.21300;1.33600;0.185105289262061;1216.77435137999
1155.32251;9.58180;124.07275;75.05396;0.41919;1.24800;2.21213;1.39893;0.180704712266065;1174.03174473529
1155.40002;9.58801;123.57715;75.24341;0.42260;1.24800;2.21120;1.46625;0.182357744215672;1189.96701295883
